cue,target,strength
SAVE,CONSERVE,0.022
SAVE,BANK,0.017
SAVE,LIVE,0.017
SAVE,STORE,0.017
SAVE,COLLECT,0.011
SAVE,DESTROY,0.011
SAVE,DROWN,0.011
SAVE,EARN,0.011
SAVE,GAIN,0.011
SAVE,MISER,0.011
SAVIOR,CHRIST,0.322
SAVIOR,GOD,0.197
SAVIOR,HERO,0.059
SAVIOR,LORD,0.039
SAVIOR,FOOD,0.033
SAVIOR,TASTE,0.033
SAVIOR,CHURCH,0.02
SAVIOR,HELP,0.02
SAVIOR,SAINT,0.02
SAVIOR,ANGEL,0.013
SAVIOR,BIBLE,0.013
SAVIOR,KNOW,0.013
SAVIOR,MEMORY,0.013
SAW,WOOD,0.193
SAW,CUT,0.163
SAW,HAMMER,0.104
SAW,TOOL,0.081
SAW,SEE,0.067
SAW,DUST,0.052
SAW,BLADE,0.044
SAW,MILL,0.037
SAW,LOOK,0.03
SAW,OFF,0.015
SAW,TOOTH,0.015
SAW,TREE,0.015
SAW,WORK,0.015
SAXOPHONE,MUSIC,0.257
SAXOPHONE,INSTRUMENT,0.237
SAXOPHONE,TRUMPET,0.072
SAXOPHONE,JAZZ,0.053
SAXOPHONE,GUITAR,0.033
SAXOPHONE,PLAYER,0.026
SAXOPHONE,TROMBONE,0.02
SAXOPHONE,ALTO,0.013
SAXOPHONE,BLUES,0.013
SAXOPHONE,BRASS,0.013
SAXOPHONE,CLARINET,0.013
SAXOPHONE,FLUTE,0.013
SAXOPHONE,FRENCH HORN,0.013
SAXOPHONE,HORN,0.013
SAXOPHONE,NOISY,0.013
SAXOPHONE,PLAY,0.013
SAXOPHONE,TUBA,0.013
SAY,SPEAK,0.295
SAY,TALK,0.219
SAY,DO,0.11
SAY,NO,0.048
SAY,TELL,0.041
SAY,ANYTHING,0.034
SAY,SOMETHING,0.034
SAY,WORD,0.027
SAY,ASK,0.021
SAY,SPEECH,0.021
SAY,SAID,0.014
SAY,WHAT,0.014
SAY,WRITE,0.014
SAYING,TALKING,0.192
SAYING,WORDS,0.132
SAYING,PHRASE,0.073
SAYING,QUOTE,0.053
SAYING,SPEAKING,0.053
SAYING,CLICHE,0.04
SAYING,DOING,0.033
SAYING,TELLING,0.033
SAYING,SLANG,0.02
SAYING,GOODBYE,0.013
SAYING,NO,0.013
SAYING,OLD,0.013
SAYING,PROVERB,0.013
SAYING,STATING,0.013
SCALE,WEIGHT,0.53
SCALE,WEIGH,0.112
SCALE,POUND,0.038
SCALE,CLIMB,0.037
SCALE,FAT,0.037
SCALE,FISH,0.037
SCALE,HEAVY,0.03
SCALE,BALANCE,0.022
SCALE,1 TO 10,0.015
SCALE,HEIGHT,0.015
SCALE,MEASURE,0.015
SCALE,MUSIC,0.015
SCALE,RULER,0.015
SCALE,WALL,0.015
SCALES,WEIGHT,0.48
SCALES,FISH,0.291
SCALES,MEASURE,0.074
SCALES,FAT,0.034
SCALES,MUSIC,0.034
SCALES,BALANCE,0.014
SCALES,GRAPH,0.014
SCALES,REPTILE,0.014
SCALLOP,POTATO,0.283
SCALLOP,SEAFOOD,0.138
SCALLOP,FISH,0.112
SCALLOP,SHRIMP,0.079
SCALLOP,CLAM,0.072
SCALLOP,FOOD,0.059
SCALLOP,SHELL,0.059
